,Title,CDID
1,CPI INDEX 07.1 : PURCHASE OF VEHICLES 2005=100                          ,D7CO
2,CPI INDEX 05.6 : GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE 2005=100,D7CN
3,CPI INDEX 05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN 2005=100      ,D7CM
4,"CPI INDEX 05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS 2005=100   ",D7CL
5,CPI INDEX 05.3 : MAJOR HOUSEHOLD APPLIANCES INCL FITTINGS AND REPAIRS 2005=100,D7CK
6,CPI INDEX 05.2 : HOUSEHOLD TEXTILES 2005=100                            ,D7CJ
7,"CPI INDEX 05.1 : FURNITURE, FURNISHINGS,CARPETS & OTHER FLOOR COVERINGS 2005=100",D7CI
8,"CPI INDEX 04.5 : ELECTRICITY, GAS AND OTHER FUELS 2005=100              ",D7CH
9,CPI INDEX 04.4 : OTHER SERVICES RELATING TO THE DWELLING 2005=100       ,D7CG
10,CPI INDEX 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING 2005=100,D7CF
11,CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2005=100                      ,D7CE
12,CPI INDEX 03.2 : FOOTWEAR INCLUDING REPAIRS 2005=100                    ,D7CD
13,CPI INDEX 03.1 : CLOTHING 2005=100                                      ,D7CC
14,CPI INDEX 02.2 : TOBACCO 2005=100                                       ,D7CB
15,CPI INDEX 02.1 : ALCOHOLIC BEVERAGES 2005=100                           ,D7CA
16,"RPI: Ave price - Salmon fillets, per Kg                                 ",ZPTX
17,CPI INDEX 06 : HEALTH- estimated pre-97 2005=100                        ,D7BZ
18,"CPI INDEX 05 : FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE- est. pre-97 2005=100",D7BY
19,"CPI INDEX 04 : HOUSING, WATER AND FUELS- estimated pre-97 2005=100      ",D7BX
20,CPI INDEX 01.2 : NON-ALCOHOLIC BEVERAGES 2005=100                       ,D7C9
21,CPI INDEX 03 : CLOTHING AND FOOTWEAR- estimated pre-97 2005=100         ,D7BW
22,CPI INDEX 01.1 : FOOD 2005=100                                          ,D7C8
23,"CPI INDEX 02:ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS- estimated pre-97 2005=100",D7BV
24,CPI INDEX 12 : MISCELLANEOUS GOODS AND SERVICES- estimated pre-97 2005=100,D7C7
25,CPI INDEX 01 : FOOD AND NON-ALCOHOLIC BEVERAGES 2005=100                ,D7BU
26,"CPI INDEX 11 : HOTELS, CAFES AND RESTAURANTS- estimated pre-97 2005=100 ",D7C6
27,CPI All Items Index: Estimated pre-97 2005=100                          ,D7BT
