,contacts,description,id,keywords,links,methodologies,next_release,qmi,related_datasets,release_frequency,state,title,national_statistic,type,publications,unit_of_measure,license
0,"[{'email': 'qualityoflife@ons.gov.uk', 'name': 'Jackie Massaya', 'telephone': '+44 1633560287'}]","Seasonally and non seasonally-adjusted quarterly estimates of life satisfaction, worthwhile, happiness and anxiety in the UK.",wellbeing-quarterly,['well-being'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/wellbeing-quarterly/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/wellbeing-quarterly/editions/time-series/versions/4', 'id': '4'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/wellbeing-quarterly'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/wellbeing'}}","[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/methodologies/personalwellbeingquarterlyestimatestechnicalreport', 'title': 'Personal well-being quarterly estimates technical report'}]",TBD,{},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/personalandeconomicwellbeingintheuk/latest', 'title': 'Personal and economic well-being in the UK'}]",Quarterly,published,Quarterly personal well-being estimates,,,,,
1,"[{'email': 'QualityOfLife@ons.gov.uk', 'name': 'Mark Hamilton', 'telephone': '+44 (0)1633 455044'}]","Estimates of life satisfaction, worthwhile, happiness and anxiety at the UK, country and local authority level.",wellbeing-local-authority,['well-being'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/wellbeing-local-authority/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/wellbeing-local-authority/editions/time-series/versions/2', 'id': '2'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/wellbeing-local-authority'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/wellbeing'}}",,TBC,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/methodologies/personalwellbeingintheukqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/april2019tomarch2020', 'title': 'Personal well-being in the UK: April 2019 to March 2020'}]",Annual,published,Personal well-being estimates by local authority,TRUE,,,,
2,"[{'email': 'health.data@ons.gov.uk', 'name': 'Sarah Caul', 'telephone': '+44 1633 456 490'}]","Provisional counts of the number of deaths registered in England and Wales, by region, in the latest weeks for which data are available.",weekly-deaths-region,"['Deaths', 'weekly deaths']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-region/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-region/editions/covid-19/versions/103', 'id': '103'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-region'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths'}}",,20-Sep-22,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/mortalitystatisticsinenglandandwalesqmi'},,Weekly,published,Deaths registered weekly in England and Wales by region,TRUE,,,,
3,"[{'email': 'health.data@ons.gov.uk', 'name': 'Sarah Caul', 'telephone': '+44 1633 456490'}]","Provisional counts of the number of deaths registered in England and Wales, including deaths involving the coronavirus (COVID-19), by local authority, health board and place of death in the latest weeks for which data are available.",weekly-deaths-local-authority,"['Deaths', 'weekly deaths']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-local-authority/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-local-authority/editions/2021/versions/65', 'id': '65'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-local-authority'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths'}}",,20-Sep-22,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/mortalitystatisticsinenglandandwalesqmi'},,Weekly,published,Death registrations and occurrences by local authority and place of death,TRUE,,,,
4,"[{'email': 'health.data@ons.gov.uk', 'name': 'Sarah Caul', 'telephone': '+44 1633 456 490'}]","Provisional counts of the number of deaths registered in Wales, by health board and place of death, in the latest weeks for which data are available.",weekly-deaths-health-board,"['Deaths', 'weekly deaths']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-health-board/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-health-board/editions/2021/versions/65', 'id': '65'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-health-board'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths'}}",,20-Sep-22,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/mortalitystatisticsinenglandandwalesqmi'},,Weekly,published,Death registrations and occurrences by health board and place of death,TRUE,,,,
5,"[{'email': 'health.data@ons.gov.uk', 'name': 'Sarah Caul', 'telephone': '+44 1633 456 490'}]","Provisional counts of the number of deaths registered in England and Wales, by age and sex, in the latest weeks for which data are available.",weekly-deaths-age-sex,"['Deaths', 'weekly deaths']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-age-sex/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-age-sex/editions/covid-19/versions/103', 'id': '103'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-age-sex'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths'}}",,20-Sep-22,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/mortalitystatisticsinenglandandwalesqmi'},,Weekly,published,Deaths registered weekly in England and Wales by age and sex,TRUE,,,,
6,"[{'email': 'faster.indicators@ons.gov.uk', 'name': ""Emelia D'Silva-Parker"", 'telephone': '+44 1633 455120'}]",These data series are experimental faster indicators for monitoring UK spending using debit and credit cards.,uk-spending-on-cards,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/uk-spending-on-cards/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/uk-spending-on-cards/editions/time-series/versions/45', 'id': '45'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/uk-spending-on-cards'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/economy/economicoutputandproductivity/productivitymeasures'}}",,15-Sep-22,{'href': 'https://www.bankofengland.co.uk/payment-and-settlement/chaps-faster-indicator'},,Weekly,published,UK spending on credit and debit cards,,filterable,,,
7,"[{'email': 'idbras@ons.gov.uk', 'name': 'Becky Shaw', 'telephone': '+44 1633 456902'}]","The data contained in these tables are numbers of enterprises and local units produced from a snapshot of the Inter-Departmental Business Register (IDBR) taken on 12 March 2021. This dataset contains details of the number of VAT and/or PAYE based enterprises and local units in districts, counties and unitary authorities within region and country by broad industry group.",uk-business-by-enterprises-and-local-units,"['enterprises', 'local units,IDBR,business counts,Inter-Departmental Business Register']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/uk-business-by-enterprises-and-local-units/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/uk-business-by-enterprises-and-local-units/editions/2021/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/uk-business-by-enterprises-and-local-units'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/business/businessservices'}}",,To be announced,{'href': 'https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/methodologies/ukbusinessactivitysizeandlocationqmi'},,Annual,published,"UK Business: Activity, Size and Location",,filterable,"[{'href': 'https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation', 'title': 'UK Business: Activity, Size and Location'}]",Count,
8,"[{'email': 'faster.indicators@ons.gov.uk', 'name': ""Emelia D'Silva-Parker"", 'telephone': '+44 1633 455120'}]",Experimental dataset for business indices covering the UK as part of the real-time indicators release to help better understand economic activity and social change in the UK.,traffic-camera-activity,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/traffic-camera-activity/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/traffic-camera-activity/editions/time-series/versions/51', 'id': '51'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/traffic-camera-activity'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/business/activitysizeandlocation'}}",,08-Sep-22,{'href': 'https://datasciencecampus.ons.gov.uk/projects/estimating-vehicle-and-pedestrian-activity-from-town-and-city-traffic-cameras/'},,Weekly,published,Traffic Camera Activity,,filterable,,,
9,"[{'email': 'trade@ons.gov.uk', 'name': 'Hannah Donnarumma', 'telephone': '+44 (0)1329 447648'}]","Country by commodity data on the UK's trade in goods, including trade by all countries and selected commodities, exports and imports, non seasonally adjusted.",trade,['trade'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/trade/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/trade/editions/time-series/versions/24', 'id': '24'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/trade'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/internationaltrade'}}",,12-Oct-22,{'href': 'https://www.ons.gov.uk/economy/nationalaccounts/balanceofpayments/methodologies/uktradeqmi'},,Monthly,published,Trade in goods: country by commodity,,,,£million,
